"RowId","YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","DataValueTypeID","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","Geolocation","ClassID","TopicID","QuestionID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2"
"BRFSS~2015~2015~13~Q31~TCC02~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Functional difficulties associated with subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores","%","PRCTG","Percentage","40.5","40.5",,,"32.4","49.1","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C06","TCC02","Q31","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2015~2015~13~Q42~TCC04~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Talked with health care professional about subjective cognitive decline or memory loss","Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it","%","PRCTG","Percentage","54.2","54.2",,,"42.0","66.0","Age Group","50-64 years","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C06","TCC04","Q42","13","AGE","5064","SEX","FEMALE"
"BRFSS~2015~2015~13~Q09~TSC09~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Ever had pneumococcal vaccine","Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine","%","PRCTG","Percentage","41.1","41.1",,,"32.1","50.7","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC09","Q09","13","AGE","5064","RACE","BLK"
"BRFSS~2015~2015~13~Q21~TAC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage","13.7","13.7",,,"11.0","16.9","Age Group","50-64 years","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","5064","RACE","WHT"
"BRFSS~2015~2015~13~Q22~TSC07~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","High blood pressure ever","Percentage of older adults who have ever been told by a health professional that they have high blood pressure","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC07","Q22","13","AGE","5064","RACE","HIS"
"BRFSS~2015~2015~13~Q13~TNC04~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","%","PRCTG","Percentage","37.3","37.3",,,"34.1","40.6","Age Group","50-64 years",,,"POINT (-83.62758034599966 32.83968109300048)","C02","TNC04","Q13","13","AGE","5064","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q35~TOC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2015~2015~13~Q19~TSC04~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Diabetes screening within past 3 years","Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC04","Q19","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2015~2015~13~Q31~TCC02~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Functional difficulties associated with subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores","%","PRCTG","Percentage","48.3","48.3",,,"39.1","57.6","Age Group","50-64 years",,,"POINT (-83.62758034599966 32.83968109300048)","C06","TCC02","Q31","13","AGE","5064","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q13~TNC04~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","%","PRCTG","Percentage","30.5","30.5",,,"26.0","35.4","Age Group","65 years or older","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C02","TNC04","Q13","13","AGE","65PLUS","SEX","MALE"
"BRFSS~2015~2015~13~Q09~TSC09~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Ever had pneumococcal vaccine","Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine","%","PRCTG","Percentage","53.5","53.5",,,"48.8","58.2","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C03","TSC09","Q09","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q14~TSC06~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Cholesterol checked in past 5 years","Percentage of older adults who had a cholesterol screening within the past 5 years","%","PRCTG","Percentage","96.5","96.5",,,"93.9","98.0","Age Group","65 years or older","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC06","Q14","13","AGE","65PLUS","RACE","BLK"
"BRFSS~2015~2015~13~Q44~TOC12~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Severe joint pain among older adults with arthritis","Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC12","Q44","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2015~2015~13~Q13~TNC04~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","%","PRCTG","Percentage","34.4","34.4",,,"31.0","38.1","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C02","TNC04","Q13","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q14~TSC06~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Cholesterol checked in past 5 years","Percentage of older adults who had a cholesterol screening within the past 5 years","%","PRCTG","Percentage","93.3","93.3",,,"91.8","94.5","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C03","TSC06","Q14","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q21~TAC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","65PLUS","RACE","BLK"
"BRFSS~2015~2015~13~Q32~TOC07~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Self-rated health (fair to poor health)","Percentage of older adults who self-reported that their health is ""fair"" or ""poor""","%","PRCTG","Percentage","23.7","23.7",,,"20.9","26.8","Age Group","65 years or older","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC07","Q32","13","AGE","65PLUS","RACE","WHT"
"BRFSS~2015~2015~13~Q17~TAC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Smoking and Alcohol Use","Current smoking","Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C04","TAC01","Q17","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2015~2015~13~Q18~TSC08~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","65PLUS","RACE","HIS"
"BRFSS~2015~2015~13~Q33~TOC08~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Self-rated health (good to excellent health)","Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC08","Q33","13","AGE","65PLUS","RACE","HIS"
"BRFSS~2015~2015~13~Q27~TMC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","5064","RACE","NAA"
"BRFSS~2015~2015~13~Q03~TMC01~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","%","PRCTG","Percentage","8.2","8.2",,,"6.6","10.0","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C05","TMC01","Q03","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q43~TOC11~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","%","PRCTG","Percentage","37.5","37.5",,,"34.1","41.1","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC11","Q43","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q04~TOC04~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Taking medication for high blood pressure","Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure","%","PRCTG","Percentage","97.3","97.3",,,"91.5","99.1","Age Group","65 years or older","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC04","Q04","13","AGE","65PLUS","RACE","BLK"
"BRFSS~2015~2015~13~Q42~TCC04~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Talked with health care professional about subjective cognitive decline or memory loss","Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it","%","PRCTG","Percentage",,,"~","No Data Available",,,"Age Group","65 years or older","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C06","TCC04","Q42","13","AGE","65PLUS","RACE","NAA"
"BRFSS~2015~2015~13~Q16~TNC03~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage","28.2","28.2",,,"23.7","33.1","Age Group","50-64 years","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","5064","SEX","MALE"
"BRFSS~2015~2015~13~Q19~TSC04~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Diabetes screening within past 3 years","Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years","%","PRCTG","Percentage","71.1","71.1",,,"67.7","74.3","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C03","TSC04","Q19","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q13~TNC04~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","%","PRCTG","Percentage","40.1","40.1",,,"35.4","45.1","Age Group","Overall","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C02","TNC04","Q13","13","AGE","AGE_OVERALL","RACE","BLK"
"BRFSS~2015~2015~13~Q03~TMC01~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","%","PRCTG","Percentage","10.6","10.6",,,"8.5","13.1","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C05","TMC01","Q03","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q03~TMC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C05","TMC01","Q03","13","AGE","5064","RACE","HIS"
"BRFSS~2015~2015~13~Q41~TCC03~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Need assistance with day-to-day activities because of subjective cognitive decline or memory loss","Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities","%","PRCTG","Percentage","37.5","37.5",,,"29.3","46.4","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C06","TCC03","Q41","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q02~TNC02~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Eating 3 or more vegetables daily","Percentage of older adults who are eating 3 or more vegetables daily","%","PRCTG","Percentage","13.8","13.8",,,"12.3","15.5","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C02","TNC02","Q02","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q31~TCC02~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Functional difficulties associated with subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores","%","PRCTG","Percentage","27.9","27.9",,,"17.7","41.0","Age Group","65 years or older","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C06","TCC02","Q31","13","AGE","65PLUS","SEX","MALE"
"BRFSS~2015~2015~13~Q32~TOC07~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Overall Health","Self-rated health (fair to poor health)","Percentage of older adults who self-reported that their health is ""fair"" or ""poor""","%","PRCTG","Percentage","27.7","27.7",,,"23.4","32.5","Age Group","50-64 years","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC07","Q32","13","AGE","5064","SEX","MALE"
"BRFSS~2015~2015~13~Q45~TOC13~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Fair or poor health among older adults with arthritis","Fair or poor health among older adults with doctor-diagnosed arthritis","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC13","Q45","13","AGE","5064","RACE","HIS"
"BRFSS~2015~2015~13~Q30~TCC01~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months","%","PRCTG","Percentage","15.0","15.0",,,"11.5","19.3","Age Group","50-64 years","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C06","TCC01","Q30","13","AGE","5064","SEX","MALE"
"BRFSS~2015~2015~13~Q08~TOC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","Number","MEAN","Mean",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C01","TOC01","Q08","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2015~2015~13~Q09~TSC09~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Ever had pneumococcal vaccine","Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine","%","PRCTG","Percentage","69.4","69.4",,,"66.4","72.3","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C03","TSC09","Q09","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q22~TSC07~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","High blood pressure ever","Percentage of older adults who have ever been told by a health professional that they have high blood pressure","%","PRCTG","Percentage","69.5","69.5",,,"64.6","73.9","Age Group","Overall","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC07","Q22","13","AGE","AGE_OVERALL","RACE","BLK"
"BRFSS~2015~2015~13~Q22~TSC07~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","High blood pressure ever","Percentage of older adults who have ever been told by a health professional that they have high blood pressure","%","PRCTG","Percentage","57.7","57.7",,,"52.6","62.6","Age Group","50-64 years","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C03","TSC07","Q22","13","AGE","5064","SEX","MALE"
"BRFSS~2015~2015~13~Q30~TCC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months","%","PRCTG","Percentage","13.2","13.2",,,"9.3","18.5","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C06","TCC01","Q30","13","AGE","5064","RACE","BLK"
"BRFSS~2015~2015~13~Q35~TOC03~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean","7.8","7.8",,,"6.6","9.1","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q18~TSC08~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage","46.3","46.3",,,"43.3","49.3","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2015~2015~13~Q19~TSC04~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Diabetes screening within past 3 years","Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years","%","PRCTG","Percentage","71.1","71.1",,,"66.8","75.1","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C03","TSC04","Q19","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q09~TSC09~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","Ever had pneumococcal vaccine","Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC09","Q09","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2015~2015~13~Q27~TMC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage","20.3","20.3",,,"18.3","22.5","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2015~2015~13~Q08~TOC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","Number","MEAN","Mean","5.5","5.5",,,"4.8","6.3","Age Group","50-64 years","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC01","Q08","13","AGE","5064","RACE","WHT"
"BRFSS~2015~2015~13~Q16~TNC03~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage","36.4","36.4",,,"30.3","42.9","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","5064","RACE","BLK"
"BRFSS~2015~2015~13~Q30~TCC01~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C06","TCC01","Q30","13","AGE","65PLUS","RACE","NAA"
